🕘️更新时间,#genre#
2026-06-17 20:23:14,https://0472.org/hls/cgtn.m3u8$订阅源

📺央视频道,#genre#
CGTN英语,https://0472.org/hls/cgtn.m3u8$订阅源
CGTN英语,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8$订阅源

📡卫视频道,#genre#
浙江卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226899/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ETYfTgTra_pUx2cPrgZ_BDw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$订阅源
浙江卫视,http://iptv.huuc.edu.cn/hls/zjhd.m3u8$订阅源
浙江卫视,https://zby.130519.xyz/PLTV/11/224/3221225727/index.m3u8$订阅源
河北卫视,http://event.pull.hebtv.com/jishi/weishi_tingyun.m3u8$订阅源
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源

☘️广东频道,#genre#
广东珠江,http://r.jdshipin.com/sE5vO$订阅源
广东体育,http://r.jdshipin.com/LiYdg$订阅源
广东体育,https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8$订阅源

🌊港澳台频道,#genre#
翡翠台,http://r.jdshipin.com/GeWKr$订阅源
翡翠台,http://cdn6.163189.xyz/163189/fct4k$订阅源
翡翠台,http://r.jdshipin.com/qClQf$订阅源
翡翠台,http://r.jdshipin.com/n90gt$订阅源
翡翠台,http://r.jdshipin.com/qrfbg$订阅源
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2$订阅源
明珠台,http://r.jdshipin.com/ZQ4kN$订阅源
明珠台,http://r.jdshipin.com/jUx8K$订阅源
凤凰中文,http://r.jdshipin.com/cCCzW$订阅源
凤凰中文,http://cdn6.163189.xyz/163189/fhzw$订阅源
凤凰资讯,http://r.jdshipin.com/0Rp07$订阅源
凤凰香港,http://cdn6.163189.xyz/163189/fhhk$订阅源
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk$订阅源
凤凰香港,http://r.jdshipin.com/yDoTN$订阅源
TVB星河,http://r.jdshipin.com/Voac4$订阅源
TVB星河,http://r.jdshipin.com/sXuuD$订阅源
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe$订阅源
无线新闻,http://r.jdshipin.com/CkuBd$订阅源
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxw$订阅源
ViuTV,http://r.jdshipin.com/vSJvl$订阅源
ViuTV,http://r.jdshipin.com/TcKr2$订阅源
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv$订阅源
HOY TV,http://r.jdshipin.com/sFw4S$订阅源
港台电视 31,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31$订阅源
港台电视 32,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk32$订阅源
澳门卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=as$订阅源

🎬电影频道,#genre#

🏀体育频道,#genre#

🪁动画频道,#genre#

♻️未匹配频道,#genre#
第一剧场,https://epg.pw/stream/6d7bf281e3d739806a73f5373acaa6e01988ec9739f5ac1355ce54b47a928472.m3u8$订阅源
央视台球,https://epg.pw/stream/25677ac2e8c1f7c3dd6359c43eb5f0f54efb3f5c11f9dda18d01b3e0308ed017.m3u8$订阅源
央视台球,https://epg.pw/stream/ca9c1cd4b97fb824cedd7fedfd0c7a950afdd7f00751cfbb7c2d89831d7746a5.m3u8$订阅源
CGTN,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8$订阅源
CGTN,https://0472.org/hls/cgtn.m3u8$订阅源
CGTN俄语,https://0472.org/hls/cgtne.m3u8$订阅源
CGTN法语,https://0472.org/hls/cgtnf.m3u8$订阅源
CGTN西语,https://0472.org/hls/cgtnx.m3u8$订阅源
CGTN阿语,https://0472.org/hls/cgtna.m3u8$订阅源
海峡卫视,http://r.jdshipin.com/WtYt3$订阅源
延边卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221227045/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Eq0D3NdTUN7FuRzr8eJsbQA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$订阅源
山东教育,http://iptv.huuc.edu.cn/hls/sdetv.m3u8$订阅源
南国都市,http://r.jdshipin.com/nWaZO$订阅源
